Numero;ID;Nombre;Calorias;Proteinas;Carbohidratos;Grasas;TipoMedida;CreadoEn
1;"c8be589e-63f8-43d4-8d19-ca36a66aeac4";"Verdura";0;0;0;0;"unit";"2026-05-24T11:25:22.041Z"
2;"5289c65b-1116-116c-5bb0-76227b72d1e8";"Pollo (Pechuga, Desmechado, Crudo)";120;23;0;2.5;"g";"2026-05-27T17:17:05.808Z"
3;"179fd489-7856-257c-0819-d7de9819af7f";"Pavo (Pechuga, Fiambre, Solomillo)";105;22;0;1.5;"g";"2026-05-27T17:17:05.808Z"
4;"5bb5fe1f-0793-fa68-2226-e2bdbe8d83a6";"Salmón (Fresco o Ahumado)";180;20;0;11;"g";"2026-05-27T17:17:05.808Z"
5;"3547f25b-3a63-0e6f-3525-1ad5ab42bed0";"Atún al natural";116;26;0;1;"g";"2026-05-27T17:17:05.808Z"
6;"3cf9356f-152b-2e2b-c788-48b99dc223c3";"Ternera magra";150;21;0;5;"g";"2026-05-27T17:17:05.808Z"
7;"8bdbf1be-1908-b4cb-4ad8-1cd510640b7c";"Pescado blanco (Merluza, Lubina)";80;18;0;1;"g";"2026-05-27T17:17:05.808Z"
8;"0699f621-2733-97ce-facd-92dfae3f26e2";"Gambas cocidas";85;20;0.5;0.8;"g";"2026-05-27T17:17:05.808Z"
9;"681d00ee-9d14-63e4-1221-775c6431ddf6";"Bacalao desmigado";82;18;0;0.7;"g";"2026-05-27T17:17:05.808Z"
10;"b1b21b34-af1c-e2e5-afd4-6878b38c069f";"Sepia salteada";80;16;0.7;0.9;"g";"2026-05-27T17:17:05.808Z"
11;"01bb6ba8-2080-c7e1-f2da-ffc6497fbab1";"Mejillones al vapor";86;12;3.4;2.2;"g";"2026-05-27T17:17:05.808Z"
12;"68f2e41b-bcfe-1f12-744b-c595cb07c4ad";"Jamón serrano (Limpio)";240;30;0;13;"g";"2026-05-27T17:17:05.808Z"
13;"e8510c12-8389-3e9a-996f-e5a235d288de";"Huevo entero";155;13;1.1;11;"unit";"2026-05-27T17:17:05.808Z"
14;"33e1f45f-13a0-6d41-1c0e-139508510e17";"Claras de Huevo";52;11;0.7;0.2;"g";"2026-05-27T17:17:05.808Z"
15;"2fd9c7a4-c88b-3461-78ae-a627d84e7be7";"Requesón";100;12;3;4;"g";"2026-05-27T17:17:05.808Z"
16;"b98d9c3e-7983-fe59-6464-ad16972d2a09";"Queso cottage";98;11;3.4;4.3;"g";"2026-05-27T17:17:05.808Z"
17;"fdf68acc-34e7-26cb-1fc6-6c0a226c8334";"Queso fresco tipo Burgos";110;11;3;6;"g";"2026-05-27T17:17:05.808Z"
18;"a4d94891-4506-c8ee-9c78-f9bb2dea1505";"Queso batido 0%";47;8;3.5;0.1;"g";"2026-05-27T17:17:05.808Z"
19;"5007efb5-0678-3745-6be9-9bb58c879de1";"Skyr";65;11;4;0.2;"g";"2026-05-27T17:17:05.808Z"
20;"96178436-4f6d-5d4f-5472-9e811e44cf1b";"Yogur griego";115;10;3;7;"unit";"2026-05-27T17:17:05.808Z"
21;"d4fda4cb-f74f-68ce-9458-b08f9a6e059b";"Yogur natural";60;3.5;4.7;3.3;"g";"2026-05-27T17:17:05.808Z"
22;"35cfc6e5-f7e5-242b-dc23-d587251e230d";"Kéfir";60;3.5;4.8;3;"g";"2026-05-27T17:17:05.808Z"
23;"b58b589f-0183-7cf4-522c-5da7540f4799";"Queso crema light";150;6;5;12;"g";"2026-05-27T17:17:05.808Z"
24;"ec036388-7b25-5103-f8a7-b4da00bfa98f";"Queso mozzarella light";200;22;2;12;"g";"2026-05-27T17:17:05.808Z"
25;"07390d92-6a9d-16b9-f527-32132abfafd0";"Queso curado / gratinado";380;25;1.3;30;"g";"2026-05-27T17:17:05.808Z"
26;"7f87ac1e-00b7-4d09-9d01-7936a8fe0e0d";"Queso havarti (Loncha)";330;21;0.5;26;"g";"2026-05-27T17:17:05.808Z"
27;"f61fa6ff-622d-dd4a-6eb1-af783eb926d9";"Leche desnatada";34;3.4;5;0.1;"g";"2026-05-27T17:17:05.808Z"
28;"6531c96c-a475-4fa2-0cca-5ce6a3b08e92";"Leche de soja";45;3.3;2.5;1.8;"g";"2026-05-27T17:17:05.808Z"
29;"1781104e-f862-5bda-426b-3c31af7cc15c";"Leche de almendras / avellanas";24;0.5;3;1.1;"g";"2026-05-27T17:17:05.808Z"
30;"54b58769-707d-b1ea-3376-6b023f630eec";"Copos de avena / Harina de avena";389;16.9;66;6.9;"g";"2026-05-27T17:17:05.808Z"
31;"b21d2778-11e8-eb17-d673-767839742f50";"Arroz (Blanco, Integral, Basmati, Jazmín)";350;7;78;0.5;"g";"2026-05-27T17:17:05.809Z"
32;"281a325e-e98d-4e52-7343-b8a2b3de7307";"Pasta integral";350;12;72;1.5;"g";"2026-05-27T17:17:05.809Z"
33;"05f145ff-46bb-6beb-abee-c7cac97dad20";"Pan integral / Centeno / Masa madre";250;9;45;2.5;"g";"2026-05-27T17:17:05.809Z"
34;"1826fb96-0481-7d99-8477-3e0942a3f8ed";"Tortitas de arroz o maíz";380;8;80;3;"unit";"2026-05-27T17:17:05.809Z"
35;"16b1f941-3f19-d0d2-bbbb-a531b7e06e1a";"Tortilla de trigo integral";290;8;45;6;"unit";"2026-05-27T17:17:05.809Z"
36;"ec06f81d-37b1-3853-e18c-88e30acb6b6b";"Tortilla de maíz";220;5;45;2.5;"unit";"2026-05-27T17:17:05.809Z"
37;"a321ea19-a756-5fb1-815b-d99f1464da08";"Batata / Boniato (asado)";86;1.6;20;0.1;"g";"2026-05-27T17:17:05.809Z"
38;"d41fc610-61cb-4800-a84e-9428b326f8ef";"Patata (Asada, Puré, Baby)";77;2;17;0.1;"g";"2026-05-27T17:17:05.809Z"
39;"a0f926a9-5ef4-d488-f080-6f4c01080130";"Quinoa cocida";370;14;64;6;"g";"2026-05-27T17:17:05.809Z"
40;"2a23e919-17f1-a1f1-d01d-940500ac1447";"Cuscús integral";350;12;73;1.5;"g";"2026-05-27T17:17:05.809Z"
41;"3870bf42-4a25-bfe5-498b-4877e77fbfb4";"Colines / Bastones integrales";390;11;72;5;"g";"2026-05-27T17:17:05.809Z"
42;"398ec257-ac3c-e342-2130-72cc3e06e747";"Granola casera";450;10;60;18;"g";"2026-05-27T17:17:05.809Z"
43;"bb1f9bc8-8238-e655-6fcc-84438dc34f57";"Arepa de maíz precocido";360;7;77;2.5;"g";"2026-05-27T17:17:05.809Z"
44;"89fec4f6-acd4-deab-40d4-90b553bc60f9";"Garbanzos cocidos";364;19;61;6;"g";"2026-05-27T17:17:05.809Z"
45;"4b0aaefe-52e3-7534-29bf-ed30f49f8a3e";"Lentejas cocidas";350;25;63;1;"g";"2026-05-27T17:17:05.809Z"
46;"5616810c-6e5b-9540-3421-ff99b14450f7";"Alubias blancas cocidas";330;21;60;0.8;"g";"2026-05-27T17:17:05.809Z"
47;"522976b4-2489-b03b-ff40-c4b3116e40ba";"Falafel horneado";250;13;30;8;"g";"2026-05-27T17:17:05.809Z"
